,CustomerID,SalesOrderID,Name,LineTotal,OrderQty
45051,29818,50270,"Full-Finger Gloves, L",639.3717,44
76184,29580,67266,"Women's Mountain Shorts, L",1097.618175,41
75068,29818,51783,"Women's Mountain Shorts, S",1259.82,40
75905,29913,57186,"Women's Mountain Shorts, L",1259.82,40
44891,29913,48089,"Full-Finger Gloves, L",666.7245,39
75492,29580,67266,"Women's Mountain Shorts, S",1196.829,38
64405,29693,51109,"Classic Vest, S",1028.7,36
75716,29818,51783,"Women's Mountain Shorts, L",1133.838,36
44755,29549,46673,"Full-Finger Gloves, L",598.3425,35
44737,30065,46610,"Full-Finger Gloves, L",598.3425,35
44795,29913,47065,"Full-Finger Gloves, L",581.247,34
44738,29580,46611,"Full-Finger Gloves, L",581.247,34
44749,29497,46647,"Full-Finger Gloves, L",581.247,34
44843,29497,47698,"Full-Finger Gloves, L",564.1515,33
45056,29522,50294,"Full-Finger Gloves, L",564.1515,33
44746,29647,46633,"Full-Finger Gloves, L",564.1515,33
75779,29770,53527,"Women's Mountain Shorts, L",1007.856,32
64460,29643,51789,"Classic Vest, S",914.4,32
4082,29504,46345,"Mountain Bike Socks, M",136.8,32
12768,29793,47400,"Long-Sleeve Logo Jersey, L",692.17056,32
76193,29497,67297,"Women's Mountain Shorts, L",1007.856,32
44789,29523,47045,"Full-Finger Gloves, L",547.056,32
75950,29770,58972,"Women's Mountain Shorts, L",1007.856,32
44905,29770,48350,"Full-Finger Gloves, L",529.9605,31
75684,30075,51108,"Women's Mountain Shorts, L",976.3605,31
75036,29647,51111,"Women's Mountain Shorts, S",976.3605,31
45016,29647,49843,"Full-Finger Gloves, L",529.9605,31
93962,29957,53460,"Road-350-W Yellow, 48",22963.365,30
67533,29725,51751,Hitch Rack - 4-Bike,1566.0,29
64418,29992,51154,"Classic Vest, S",828.675,29
67605,30043,53475,Hitch Rack - 4-Bike,1512.0,28
64574,29641,55282,"Classic Vest, S",800.1,28
41514,29957,47355,"Women's Tights, S",944.874,28
88149,30023,69424,"Racing Socks, L",113.274,28
75069,29828,51790,"Women's Mountain Shorts, S",850.3785,27
4848,29783,51151,AWC Logo Cap,109.2285,27
44806,29822,47399,"Full-Finger Gloves, L",461.5785,27
75287,29922,58959,"Women's Mountain Shorts, S",850.3785,27
44739,30067,46622,"Full-Finger Gloves, L",461.5785,27
44796,29579,47352,"Full-Finger Gloves, L",461.5785,27
87820,29805,55265,"Racing Socks, L",109.2285,27
64521,29950,53536,"Classic Vest, S",742.95,26
75937,30113,58905,"Women's Mountain Shorts, L",818.883,26
3931,29523,43906,"Mountain Bike Socks, M",111.15,26
45061,29523,50310,"Full-Finger Gloves, L",444.483,26
75832,30075,55253,"Women's Mountain Shorts, L",818.883,26
79858,29641,55282,"Touring-1000 Yellow, 46",27893.619,26
44831,30065,47664,"Full-Finger Gloves, L",444.483,26
64698,29637,59011,"Classic Vest, S",742.95,26
44903,29822,48340,"Full-Finger Gloves, L",444.483,26
64446,29725,51751,"Classic Vest, S",742.95,26
44898,30118,48318,"Full-Finger Gloves, L",444.483,26
69400,29704,51147,Water Bottle - 30 oz.,58.383,26
76185,30067,67272,"Women's Mountain Shorts, L",818.883,26
63508,29641,51131,"Short-Sleeve Classic Jersey, XL",607.3875,25
75143,30046,53621,"Women's Mountain Shorts, S",787.3875,25
75770,30118,53480,"Women's Mountain Shorts, L",787.3875,25
45057,29910,50295,"Full-Finger Gloves, L",427.3875,25
66236,29947,51810,Bike Wash - Dissolver,89.4375,25
75494,29605,67274,"Women's Mountain Shorts, S",787.3875,25
75030,29825,51081,"Women's Mountain Shorts, S",787.3875,25
75241,29904,57080,"Women's Mountain Shorts, S",787.3875,25
64441,30103,51734,"Classic Vest, S",714.375,25
64511,29625,53513,"Classic Vest, S",714.375,25
75118,29499,53484,"Women's Mountain Shorts, S",787.3875,25
4491,29793,47400,AWC Logo Cap,97.24725,25
94399,29957,71783,"Road-350-W Yellow, 48",19136.1375,25
64530,29966,53570,"Classic Vest, S",714.375,25
44402,29828,46947,"Full-Finger Gloves, M",476.3946,24
75765,29579,53454,"Women's Mountain Shorts, L",877.6746,24
64685,29625,58958,"Classic Vest, S",796.29,24
64465,29947,51810,"Classic Vest, S",796.29,24
75702,29997,51711,"Women's Mountain Shorts, L",877.6746,24
26178,29992,51154,"Sport-100 Helmet, Red",321.2082,24
44933,29605,48767,"Full-Finger Gloves, L",476.3946,24
76132,29822,65235,"Women's Mountain Shorts, L",877.6746,24
4918,30103,51734,AWC Logo Cap,112.7346,24
44976,29836,49157,"Full-Finger Gloves, L",476.3946,24
87733,29616,51855,"Racing Socks, L",112.7346,24
67645,29637,53616,Hitch Rack - 4-Bike,1504.8,24
88216,29592,71852,"Racing Socks, L",112.7346,24
64942,29712,69437,"Classic Vest, S",796.29,24
15178,29587,51143,"Sport-100 Helmet, Black",321.2082,24
69527,30107,51721,Water Bottle - 30 oz.,62.5746,24
65015,29796,71797,"Classic Vest, S",763.11125,23
64442,29712,51739,"Classic Vest, S",763.11125,23
66216,29996,51748,Bike Wash - Dissolver,95.539125,23
64584,29704,55328,"Classic Vest, S",763.11125,23
65011,29736,71784,"Classic Vest, S",763.11125,23
75725,29910,51832,"Women's Mountain Shorts, L",841.104825,23
44465,29484,47454,"Full-Finger Gloves, M",456.544825,23
4611,29793,48341,AWC Logo Cap,103.881455,23
8079,30109,51140,"Sport-100 Helmet, Blue",307.824525,23
64422,29589,51169,"Classic Vest, S",763.11125,23
8075,29941,51120,"Sport-100 Helmet, Blue",307.824525,23
13148,30107,51721,"Long-Sleeve Logo Jersey, L",600.754825,23
76008,29605,61211,"Women's Mountain Shorts, L",841.104825,23
23764,29701,47395,"Road-650 Red, 60",9409.582325,23
88166,29924,69503,"Racing Socks, L",108.037325,23
75080,29901,51833,"Women's Mountain Shorts, S",841.104825,23
75085,29896,51853,"Women's Mountain Shorts, S",841.104825,23
75337,29500,61217,"Women's Mountain Shorts, S",841.104825,23
64505,29488,53485,"Classic Vest, S",729.9325,22
63792,29947,57125,"Short-Sleeve Classic Jersey, XL",620.61505,22
63633,29625,53513,"Short-Sleeve Classic Jersey, XL",620.61505,22
13246,29950,53536,"Long-Sleeve Logo Jersey, L",574.63505,22
69406,29589,51169,Water Bottle - 30 oz.,57.36005,22
86419,29994,51132,"Road-350-W Yellow, 40",19552.88005,22
44691,29896,50293,"Full-Finger Gloves, M",436.69505,22
76009,29909,61216,"Women's Mountain Shorts, L",804.53505,22
3939,29504,44098,"Mountain Bike Socks, M",109.2025,22
64803,29725,63214,"Classic Vest, S",729.9325,22
87771,29592,53534,"Racing Socks, L",103.34005,22
63497,29692,51092,"Short-Sleeve Classic Jersey, XL",620.61505,22
12985,29744,49831,"Long-Sleeve Logo Jersey, L",527.41815,21
87866,29684,57038,"Racing Socks, L",98.642775,21
75827,30065,55239,"Women's Mountain Shorts, L",767.965275,21
67529,29712,51739,Hitch Rack - 4-Bike,1316.7,21
63721,29992,55322,"Short-Sleeve Classic Jersey, XL",592.405275,21
76251,29828,69476,"Women's Mountain Shorts, L",767.965275,21
45025,29549,49869,"Full-Finger Gloves, L",416.845275,21
3921,30111,43881,"Mountain Bike Socks, M",104.23875,21
44513,29904,48031,"Full-Finger Gloves, M",416.845275,21
65018,29488,71805,"Classic Vest, S",696.75375,21
63620,29722,53465,"Short-Sleeve Classic Jersey, XL",592.405275,21
64714,29966,59074,"Classic Vest, S",696.75375,21
87732,30022,51844,"Racing Socks, L",98.642775,21
18695,29627,50203,"Road-650 Black, 52",8591.357775,21
19915,29646,46660,"Road-650 Black, 58",8591.357775,21
75898,29901,57138,"Women's Mountain Shorts, L",767.965275,21
18376,29646,46660,"Road-650 Black, 52",8591.357775,21
44892,29579,48292,"Full-Finger Gloves, L",416.845275,21
67607,29557,53483,Hitch Rack - 4-Bike,1316.7,21
8068,29692,51092,"Sport-100 Helmet, Blue",281.057175,21
44837,29909,47680,"Full-Finger Gloves, L",416.845275,21
86985,29614,51096,"Road-750 Black, 48",5925.040275,21
23686,29614,46616,"Road-650 Red, 60",8591.357775,21
78025,29615,51823,"Touring-1000 Yellow, 60",16020.9504,21
64678,29488,58931,"Classic Vest, S",663.575,20
67482,29744,51090,Hitch Rack - 4-Bike,1254.0,20
4851,30048,51160,AWC Logo Cap,93.9455,20
45062,29836,50312,"Full-Finger Gloves, L",396.9955,20
65172,29705,51839,Hydration Pack - 70 oz.,574.6455,20
44833,30067,47673,"Full-Finger Gloves, L",396.9955,20
44827,30046,47456,"Full-Finger Gloves, L",396.9955,20
